Treatment,target,differentia,policy,condition,score,dist_fun,Tree Comparison Metric,Num Column Bits,Num Differentia Bits
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,random,0.54364234,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,ecoea,0.10270166,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,sharing,0.42323694,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,lexicase,0.58632479,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,random,0.47757262,info,Mutual Clustering Information,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,ecoea,0.61381997,info,Mutual Clustering Information,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,sharing,0.49271413,info,Mutual Clustering Information,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,tournament,,info,Mutual Clustering Information,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,lexicase,0.47847215,info,Mutual Clustering Information,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,random,0.72346771,cid,Clustering Information Distance,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,ecoea,0.9197733,cid,Clustering Information Distance,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,sharing,0.74358073,cid,Clustering Information Distance,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,tournament,1.0,cid,Clustering Information Distance,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,lexicase,0.56157204,cid,Clustering Information Distance,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,random,0.29275636,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,ecoea,0.07037986,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,sharing,0.25953255,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,64,TDPR,lexicase,0.52863553,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,random,0.47757262,info,Mutual Clustering Information,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,ecoea,0.61223714,info,Mutual Clustering Information,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,sharing,0.4889657,info,Mutual Clustering Information,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,tournament,,info,Mutual Clustering Information,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,lexicase,0.48501846,info,Mutual Clustering Information,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,random,0.72346771,cid,Clustering Information Distance,64,64
